topology_id,network_id,flow_id,flow_rate,flow_burst,flow_src,flow_dest,flow_of_interest
4,0,0,1.0,10.0,0,0,-1
4,0,1,1.0,10.0,0,1,-1
4,0,2,1.0,10.0,0,2,-1
4,0,3,1.0,10.0,0,3,-1
4,0,4,1.0,10.0,0,4,1
4,0,5,1.0,10.0,1,4,-1
4,0,6,1.0,10.0,2,4,-1
4,0,7,1.0,10.0,3,4,-1
4,0,8,1.0,10.0,4,4,-1
4,1,0,1.0,10.0,0,0,-1
4,1,1,1.0,10.0,0,1,-1
4,1,2,1.0,10.0,0,4,-1
4,1,3,1.0,10.0,0,4,-1
4,1,4,1.0,10.0,0,4,1
4,1,5,1.0,10.0,1,4,-1
4,1,6,1.0,10.0,2,4,-1
4,1,7,1.0,10.0,3,4,-1
4,1,8,1.0,10.0,4,4,-1
