topology_id,network_id,flow_id,flow_rate,flow_burst,flow_src,flow_dest,flow_of_interest
18,0,0,0.2631578947368421,10.0,0,0,-1
18,0,1,0.2631578947368421,10.0,0,1,-1
18,0,2,0.2631578947368421,10.0,0,2,-1
18,0,3,0.2631578947368421,10.0,0,3,-1
18,0,4,0.2631578947368421,10.0,0,4,-1
18,0,5,0.2631578947368421,10.0,0,5,-1
18,0,6,0.2631578947368421,10.0,0,6,-1
18,0,7,0.2631578947368421,10.0,0,7,-1
18,0,8,0.2631578947368421,10.0,0,8,-1
18,0,9,0.2631578947368421,10.0,0,9,-1
18,0,10,0.2631578947368421,10.0,0,10,-1
18,0,11,0.2631578947368421,10.0,0,11,-1
18,0,12,0.2631578947368421,10.0,0,12,-1
18,0,13,0.2631578947368421,10.0,0,13,-1
18,0,14,0.2631578947368421,10.0,0,14,-1
18,0,15,0.2631578947368421,10.0,0,15,-1
18,0,16,0.2631578947368421,10.0,0,16,-1
18,0,17,0.2631578947368421,10.0,0,17,-1
18,0,18,0.2631578947368421,10.0,0,18,1
18,0,19,0.2631578947368421,10.0,1,18,-1
18,0,20,0.2631578947368421,10.0,2,18,-1
18,0,21,0.2631578947368421,10.0,3,18,-1
18,0,22,0.2631578947368421,10.0,4,18,-1
18,0,23,0.2631578947368421,10.0,5,18,-1
18,0,24,0.2631578947368421,10.0,6,18,-1
18,0,25,0.2631578947368421,10.0,7,18,-1
18,0,26,0.2631578947368421,10.0,8,18,-1
18,0,27,0.2631578947368421,10.0,9,18,-1
18,0,28,0.2631578947368421,10.0,10,18,-1
18,0,29,0.2631578947368421,10.0,11,18,-1
18,0,30,0.2631578947368421,10.0,12,18,-1
18,0,31,0.2631578947368421,10.0,13,18,-1
18,0,32,0.2631578947368421,10.0,14,18,-1
18,0,33,0.2631578947368421,10.0,15,18,-1
18,0,34,0.2631578947368421,10.0,16,18,-1
18,0,35,0.2631578947368421,10.0,17,18,-1
18,0,36,0.2631578947368421,10.0,18,18,-1
18,1,0,0.2631578947368421,10.0,0,0,-1
18,1,1,0.2631578947368421,10.0,0,1,-1
18,1,2,0.2631578947368421,10.0,0,2,-1
18,1,3,0.2631578947368421,10.0,0,3,-1
18,1,4,0.2631578947368421,10.0,0,4,-1
18,1,5,0.2631578947368421,10.0,0,5,-1
18,1,6,0.2631578947368421,10.0,0,18,-1
18,1,7,0.2631578947368421,10.0,0,18,-1
18,1,8,0.2631578947368421,10.0,0,18,-1
18,1,9,0.2631578947368421,10.0,0,18,-1
18,1,10,0.2631578947368421,10.0,0,18,-1
18,1,11,0.2631578947368421,10.0,0,18,-1
18,1,12,0.2631578947368421,10.0,0,18,-1
18,1,13,0.2631578947368421,10.0,0,18,-1
18,1,14,0.2631578947368421,10.0,0,18,-1
18,1,15,0.2631578947368421,10.0,0,18,-1
18,1,16,0.2631578947368421,10.0,0,18,-1
18,1,17,0.2631578947368421,10.0,0,18,-1
18,1,18,0.2631578947368421,10.0,0,18,1
18,1,19,0.2631578947368421,10.0,1,18,-1
18,1,20,0.2631578947368421,10.0,2,18,-1
18,1,21,0.2631578947368421,10.0,3,18,-1
18,1,22,0.2631578947368421,10.0,4,18,-1
18,1,23,0.2631578947368421,10.0,5,18,-1
18,1,24,0.2631578947368421,10.0,6,18,-1
18,1,25,0.2631578947368421,10.0,7,18,-1
18,1,26,0.2631578947368421,10.0,8,18,-1
18,1,27,0.2631578947368421,10.0,9,18,-1
18,1,28,0.2631578947368421,10.0,10,18,-1
18,1,29,0.2631578947368421,10.0,11,18,-1
18,1,30,0.2631578947368421,10.0,12,18,-1
18,1,31,0.2631578947368421,10.0,13,18,-1
18,1,32,0.2631578947368421,10.0,14,18,-1
18,1,33,0.2631578947368421,10.0,15,18,-1
18,1,34,0.2631578947368421,10.0,16,18,-1
18,1,35,0.2631578947368421,10.0,17,18,-1
18,1,36,0.2631578947368421,10.0,18,18,-1
