topology_id,network_id,flow_id,flow_rate,flow_burst,flow_src,flow_dest,flow_of_interest
17,0,0,0.2777777777777778,10.0,0,0,-1
17,0,1,0.2777777777777778,10.0,0,1,-1
17,0,2,0.2777777777777778,10.0,0,2,-1
17,0,3,0.2777777777777778,10.0,0,3,-1
17,0,4,0.2777777777777778,10.0,0,4,-1
17,0,5,0.2777777777777778,10.0,0,5,-1
17,0,6,0.2777777777777778,10.0,0,6,-1
17,0,7,0.2777777777777778,10.0,0,7,-1
17,0,8,0.2777777777777778,10.0,0,8,-1
17,0,9,0.2777777777777778,10.0,0,9,-1
17,0,10,0.2777777777777778,10.0,0,10,-1
17,0,11,0.2777777777777778,10.0,0,11,-1
17,0,12,0.2777777777777778,10.0,0,12,-1
17,0,13,0.2777777777777778,10.0,0,13,-1
17,0,14,0.2777777777777778,10.0,0,14,-1
17,0,15,0.2777777777777778,10.0,0,15,-1
17,0,16,0.2777777777777778,10.0,0,16,-1
17,0,17,0.2777777777777778,10.0,0,17,1
17,0,18,0.2777777777777778,10.0,1,17,-1
17,0,19,0.2777777777777778,10.0,2,17,-1
17,0,20,0.2777777777777778,10.0,3,17,-1
17,0,21,0.2777777777777778,10.0,4,17,-1
17,0,22,0.2777777777777778,10.0,5,17,-1
17,0,23,0.2777777777777778,10.0,6,17,-1
17,0,24,0.2777777777777778,10.0,7,17,-1
17,0,25,0.2777777777777778,10.0,8,17,-1
17,0,26,0.2777777777777778,10.0,9,17,-1
17,0,27,0.2777777777777778,10.0,10,17,-1
17,0,28,0.2777777777777778,10.0,11,17,-1
17,0,29,0.2777777777777778,10.0,12,17,-1
17,0,30,0.2777777777777778,10.0,13,17,-1
17,0,31,0.2777777777777778,10.0,14,17,-1
17,0,32,0.2777777777777778,10.0,15,17,-1
17,0,33,0.2777777777777778,10.0,16,17,-1
17,0,34,0.2777777777777778,10.0,17,17,-1
17,1,0,0.2777777777777778,10.0,0,1,-1
17,1,1,0.2777777777777778,10.0,0,1,-1
17,1,2,0.2777777777777778,10.0,0,1,-1
17,1,3,0.2777777777777778,10.0,0,1,-1
17,1,4,0.2777777777777778,10.0,0,1,-1
17,1,5,0.2777777777777778,10.0,0,1,-1
17,1,6,0.2777777777777778,10.0,0,1,-1
17,1,7,0.2777777777777778,10.0,0,7,-1
17,1,8,0.2777777777777778,10.0,0,8,-1
17,1,9,0.2777777777777778,10.0,0,9,-1
17,1,10,0.2777777777777778,10.0,0,10,-1
17,1,11,0.2777777777777778,10.0,0,11,-1
17,1,12,0.2777777777777778,10.0,0,12,-1
17,1,13,0.2777777777777778,10.0,0,13,-1
17,1,14,0.2777777777777778,10.0,0,14,-1
17,1,15,0.2777777777777778,10.0,0,15,-1
17,1,16,0.2777777777777778,10.0,0,16,-1
17,1,17,0.2777777777777778,10.0,0,17,1
17,1,18,0.2777777777777778,10.0,1,17,-1
17,1,19,0.2777777777777778,10.0,2,17,-1
17,1,20,0.2777777777777778,10.0,3,17,-1
17,1,21,0.2777777777777778,10.0,4,17,-1
17,1,22,0.2777777777777778,10.0,5,17,-1
17,1,23,0.2777777777777778,10.0,6,17,-1
17,1,24,0.2777777777777778,10.0,7,17,-1
17,1,25,0.2777777777777778,10.0,8,17,-1
17,1,26,0.2777777777777778,10.0,9,17,-1
17,1,27,0.2777777777777778,10.0,10,17,-1
17,1,28,0.2777777777777778,10.0,11,17,-1
17,1,29,0.2777777777777778,10.0,12,17,-1
17,1,30,0.2777777777777778,10.0,13,17,-1
17,1,31,0.2777777777777778,10.0,14,17,-1
17,1,32,0.2777777777777778,10.0,15,17,-1
17,1,33,0.2777777777777778,10.0,16,17,-1
17,1,34,0.2777777777777778,10.0,17,17,-1
